"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
557003,"CLINTON CENTRE","5570",137.8726448,-34.2585596,137.9683191,-34.1960588
557004,"WINULTA","5570",137.83416411,-34.2980634,137.9538283,-34.2441531
557101,"PETERSVILLE","5571",137.79879129,-34.4109242,137.8891961,-34.2980133
557102,"CUNNINGHAM","5571",137.74509321,-34.4806717,137.8900445,-34.3904295
557103,"ARDROSSAN","5571",137.8648234,-34.4804982,137.94193472,-34.3961168
557104,"TIDDY WIDDY BEACH","5571",137.93394508,-34.40647661,137.94687869,-34.3962878
557105,"SANDILANDS","5571",137.698475,-34.5847607,137.89507587,-34.48044748
557106,"JAMES WELL","5571",137.88722861,-34.49464439,137.90088403,-34.47801571
557107,"ROGUES POINT","5571",137.89212003,-34.50051487,137.89928155,-34.49377978
557108,"PINE POINT","5571",137.836363,-34.6276046,137.88719129,-34.53066337
557109,"BLACK POINT","5571",137.8613931,-34.62760663,137.90786708,-34.5841825
557110,"DOWLINGVILLE","5571",137.88762041,-34.4030422,137.9738061,-34.2915519
557201,"ARTHURTON","5572",137.6806877,-34.2763366,137.8726648,-34.1868245
557301,"WEETULTA","5573",137.5421142,-34.2762248,137.7089758,-34.1868245
557302,"BALGOWAN","5573",137.471898,-34.4024016,137.5550077,-34.2339616
557303,"MAITLAND","5573",137.5419929,-34.4296895,137.8343622,-34.2759889
557304,"CHINAMAN WELLS","5573",137.47082156,-34.3983028,137.4818941,-34.37618463
557305,"POINT PEARCE","5573",137.41301403,-34.4810347,137.5421657,-34.39453509
557306,"SOUTH KILKERRAN","5573",137.5420326,-34.480954,137.6326931,-34.4024016
557307,"YORKE VALLEY","5573",137.6326415,-34.4807728,137.7452229,-34.4107329
557308,"PORT VICTORIA","5573",137.47310202,-34.55939708,137.5578358,-34.46533161
557309,"URANIA","5573",137.5421747,-34.557127,137.6985865,-34.4807235
557310,"WAURALTEE","5573",137.4952025,-34.6286425,137.6986298,-34.55029446
